State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,1036346,534231,502115,476806,201863,292470,996562,30479,1284,572,114,6829
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,1036346,534231,502115,476806,201863,292470,996562,30479,1284,572,114,6829
Rajasthan,Pali,25.80490393541874,73.55285640766907,2037573,1025422,1012151,1085693,398096,144578,1870543,143476,1345,1540,141,18974
Rajasthan,Pali,25.80490393541874,73.55285640766907,2037573,1025422,1012151,1085693,398096,144578,1870543,143476,1345,1540,141,18974
Rajasthan,Pali,25.80490393541874,73.55285640766907,2037573,1025422,1012151,1085693,398096,144578,1870543,143476,1345,1540,141,18974
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,2583052,1324085,1258967,1526673,478027,63482,2201663,314159,10605,6799,417,45614
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,2583052,1324085,1258967,1526673,478027,63482,2201663,314159,10605,6799,417,45614
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,2583052,1324085,1258967,1526673,478027,63482,2201663,314159,10605,6799,417,45614
Rajasthan,Tonk,26.153935071707927,75.79192216427637,1421326,728136,693190,749659,287903,178207,1243527,153146,754,378,122,22458
Rajasthan,Tonk,26.153935071707927,75.79192216427637,1421326,728136,693190,749659,287903,178207,1243527,153146,754,378,122,22458
Rajasthan,Tonk,26.153935071707927,75.79192216427637,1421326,728136,693190,749659,287903,178207,1243527,153146,754,378,122,22458
Rajasthan,Bundi,25.48580716049379,75.79984074074079,1110906,577160,533746,585044,210788,228549,1017688,66609,682,11059,144,13455
Rajasthan,Bundi,25.48580716049379,75.79984074074079,1110906,577160,533746,585044,210788,228549,1017688,66609,682,11059,144,13455
Rajasthan,Bundi,25.48580716049379,75.79984074074079,1110906,577160,533746,585044,210788,228549,1017688,66609,682,11059,144,13455
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,2408523,1220736,1187787,1256126,407947,229273,2224839,142427,1978,1468,183,35149
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,2408523,1220736,1187787,1256126,407947,229273,2224839,142427,1978,1468,183,35149
